source_path	sha256	category	authority	destination	action	status	notes
raw-import/2026-09-22-transfer/Trees/bristlecone-pine-newelle-seed-0.0.2/SOUL.md	392a58e7be3307094f4dfb50f5c7e5a6eac9fe4bb9998ca699e4b9f8cb27a292	bristlecone-identity	recovered Seed 0.0.2 source	recovery/bristlecone/identity/SOUL.md	promote-verbatim	selected	Seed 0.0.2 identity; duplicate recovered copies remain in raw-import
raw-import/2026-09-22-transfer/Trees/bristlecone-pine-newelle-seed-0.0.2/workspace/AGENTS.md	eda7ec3d9b8a050d7e563df9b76f03f807a5ddfbe1a66dd220276c61d82c277f	bristlecone-identity	recovered Seed 0.0.2 source	recovery/bristlecone/identity/AGENTS.md	promote-verbatim	selected	Seed 0.0.2 workspace authority and development rules
raw-import/2026-09-22-transfer/Trees/bristlecone-pine-newelle-seed-0.0.2/seed-manifest.json	f59d9b26f792a3f87444311659a15fb36ccc2a3ae0dc2caece53f2e8ac135472	bristlecone-identity	recovered Seed 0.0.2 source	recovery/bristlecone/identity/seed-manifest.json	promote-verbatim	selected	Seed metadata and original Hermes/Newelle bootstrap contract
raw-import/2026-09-22-transfer/Trees/bristlecone-pine-newelle-seed-0.0.2/README.md	7a06ddff08a534dd177c96c785b6d5fd5979d271f1db2ec39049dfc1b0b61b70	bristlecone-identity	recovered Seed 0.0.2 source	recovery/bristlecone/identity/SEED-README.md	promote-verbatim	selected	Seed package operating description
raw-import/2026-09-22-transfer/Trees/bristlecone-pine-newelle-seed-0.0.2/FIRST-CONVERSATION.txt	878898126c99033a087bb5f26ad68ea3c1add785a0a4f7c86a755d0679fa5d02	bristlecone-identity	recovered Seed 0.0.2 source	recovery/bristlecone/identity/FIRST-CONVERSATION.txt	promote-verbatim	selected	Seed first-boot identity/authority verification prompt
raw-import/2026-09-22-transfer/Trees/bristlecone-pine-newelle-seed-0.0.2/SHA256SUMS.txt	30a78a3b603ea1a7b9ac35c6311e85ddee1073686b3ead462a29d9e1b9cdc5a3	bristlecone-identity-integrity	recovered Seed 0.0.2 integrity record	recovery/bristlecone/identity/SHA256SUMS.txt	promote-verbatim	selected	Original package checksum manifest
raw-import/2026-09-22-transfer/Trees/bristlecone-pine-newelle-seed-0.0.2/plant-bristlecone.sh	7010bbdd12752e6e6863608c201cca07ea2bce49a4c5d08f156d159d370a5f6c	bristlecone-bootstrap	recovered Seed 0.0.2 source	recovery/bristlecone/identity/bootstrap/plant-bristlecone.sh	promote-verbatim	selected	Historical planting implementation; recovery evidence, not modern production installer
raw-import/2026-09-22-transfer/Trees/bristlecone-pine-newelle-seed-0.0.2/corpus-source/BRISTLECONE-PINE-IDENTITY-STATUS-SEED-0.0.2.txt	9914aa999808de42f0cd035be754b816b96bd848b0773b7a2f75a369b7978cf4	bristlecone-identity	recovered Seed 0.0.2 corpus source	recovery/bristlecone/identity/BRISTLECONE-PINE-IDENTITY-STATUS-SEED-0.0.2.txt	promote-verbatim	selected	Identity/status corpus source bundled with Seed 0.0.2
raw-import/2026-09-22-transfer/The-Forest/bristlecone/capabilities/registry.yaml	aa2fcd57c8d427844854ce5aef50c115d206a40c12271d9e78c21eefcdb0d545	bristlecone-workshops	surviving production source	recovery/bristlecone/implementation/workshops/capabilities/registry.yaml	promote-verbatim	candidate	Live recovered capability registry; selected for subsystem reconciliation
raw-import/2026-09-22-transfer/The-Forest/bristlecone/capabilities/resolver.py	c4edbb816c61b282a5fd560793c0b3aa9027b8d07544e5c9c15ec4f0a4842f23	bristlecone-workshops	surviving production source	recovery/bristlecone/implementation/workshops/capabilities/resolver.py	promote-verbatim	candidate	Live recovered resolver includes later Forest cache integration
